governorID,name,Alliance,power,killpoints,highestPower,deads,t1_kills,t1_KP,t2_kills,t2_KP,t3_kills,t3_KP,t4_kills,t4_KP,t5_kills,t5_KP
13830376,Malin Gincur,[DoS]Dawn of Spartans,"117,817,221","2,320,912,255","121,797,191","20,809,234","1,400,138","280,027","1,347,721","2,695,442","384,689","13,538,756","71,250,285","712,502,850","79,594,759","1,591,895,180"
61455161,MIIGS,[DoS]Dawn of Spartans,"95,944,479","4,654,664,950","101,241,649","18,118,504","21,138,343","4,227,668","5,236,670","10,473,340","12,571,488","50,285,952","178,217,963","1,782,179,630","140,374,918","2,807,498,360"
26527241,3RY KAROL,[DoS]Dawn of Spartans,"95,199,534","2,433,531,089","97,576,904","16,116,510","112,416,388","22,483,277","2,191,053","4,382,106","282,439","13,129,756","85,401,699","854,016,990","76,975,948","1,539,518,960"
25802454,kranthi Kumar,[DoS]Dawn of Spartans,"92,031,779","1,534,916,089","102,591,207","22,736,525","164,566,998","32,913,399","804,166","1,608,332","887,657","3,550,628","82,344,499","823,444,990","33,669,937","673,398,740"
398638,NAELOR,[DoS]Dawn of Spartans,"91,386,447","2,508,918","95,794,269","20,589,041","1,544,078","308,815","2,362,629","4,725,258","4,278,460","17,113,840","83,272,556","832,725,560","82,702,253","1,654,045,060"
29549806,CHINTu,[DoS]Dawn of Spartans,"90,910,431","1,005,585,705","99,689,166","21,718,617","140,870,276","28,174,055","859,925","1,719,850","274,190","1,096,760","56,058,348","560,583,480","20,700,578","414,011,560"
41855002,DANCE OF DEATH,[DoS]Dawn of Spartans,"89,267,887","1,210,202,332","89,286,877","10,965,191","16,456,792","3,291,358","9,208,684","18,417,368","006,819","12,027,276","46,995,319","469,953,190","35,325,657","706,513,140"
74567810,Himut,[DoS]Dawn of Spartans,"88,629,634","2,483,197,588","94,339,582","15,989,781","33,096,100","6,619,220","2,791,775","5,583,550","2,320,192","9,280,768","83,557,555","835,575,550","81,306,925","1,626,138,500"
5850663,TORISs,[DoS]Dawn of Spartans,"87,402,086","541,521,053","88,289,913","14,333,611","1,729,717","345,943","876,223","1,752,446","1,104,546","4,418,184","16,462,708","164,627,080","18,518,870","370,377,400"
381577,Aleksandr1981,[DoS]Dawn of Spartans,"84,224,357","1,043,847,719","94,640,803","16,304,235","146,405,547","29,281,109","1,544,277","3,088,554","1,447,819","5,791,276","36,229,466","362,294,660","32,169,606","643,392,120"
374116,Leo,[DoS]Dawn of Spartans,"82,780,107","2,097,380,302","95,763,786","10,658,774","11,153,881","2,230,776","1,548,477","3,096,954","2,848,218","11,392,872","84,536,154","845,361,540","61,764,908","1,235,298,160"
39667032,Tobias Justin,[DoS]Dawn of Spartans,"82,470,351","1,175,057,099","88,148,686","13,047,364","2,176,179","435,235","1,333,847","2,667,694","1,425,545","5,702,180","38,587,195","385,871,950","39,019,002","780,380,040"
